rowid;inst_name_full;country.name;year;region;inst_type;mfiname;asofdate;inst_num;year_founded;permfi;mfiid;diamonds;assets;numborrs;numborrsind;numborrsgrp;numborrsshg;numloans;numloansind;numloansgrp;numloansshg;loanport;loanportind;loanportgrp;loanportshg;avgbalnc;avgbalncpinc;avgloanpbpinc;oss;frpa;fepa;oepa;cpb;cpl;par30;par90;writeoffratio;loanlossrate;maxdiamonds;regular_case;log_par30;log_par90;age;share_grp;log_avg_loan;log_ass_loan;log_numborrs;wdi_gdpgrowth;wdi_rural;wdi_laborforce;wdi_fdi;wdi_manufac;wdi_agricul;wdi_remittances;wdi_gini;wdi_inflation;wdi_privcredit;wdi_bankdens;wdi_atmdens;db_getcredit;db_enfcontract;db_registprop;wgi_cor;wgi_eff;wgi_reg;wgi_acc;wgi_law;wgi_sta;wdi_gdp;wdi_gdp_sq;swiid_gini;hdi;hdi_sq;efi_score;fgi_econ;fgi_ineq;cooperation;coop_srvy_years
261;BRAC Uganda;Uganda;2012;Africa;NGO;BRAC - UGA;2012-12-31;113;2006;1;101874;4;26290972,85;118170;0;0;0;118170;4963;113207;0;18498112,05;3390149,460;15107962,58000;0,00;156,54;0,3457;0,3457;1,2638;0,4588;0,0760;0,2622;56,8291;55,2425;0,048600;0,040800;0,0371;0,0371;4;TRUE;-3,02413174807568907;-3,1990731975720208;6;8,16729974884113e-01;5,05329968885655;3,51556967096277e-01;11,67987954463306;0,87576103905972502;79,57599999999999;70,753;4,414385872758280;16,65388691898430;26,932671962536698;3,3445653268119999;41,0;12,6790377224658997;12,16764941618070;2,765767854202720;4,2220292958033303;37,5;55,4;60,2;-1,00157511234283003;-0,601154863834380992;-0,262373745441436990;-0,493546128273009976;-0,35627982020378102;-0,868966519832610973;2013,54634138507;4054368,86890520;43,3;0,504;0,254016;61,90000000;7,5;8,1;8,42769000357630;2001
262;BRAC Uganda;Uganda;2013;Africa;NGO;BRAC - UGA;2013-12-31;113;2006;1;101874;3;28992576,82;129104;0;0;0;129104;5261;123843;0;23825173,90;4360096,360;19465077,54000;0,00;184,54;0,4076;0,4076;1,1802;0,4405;0,0738;0,2847;63,0877;58,9315;0,006600;0,005500;0,0148;0,0148;4;TRUE;-5,02068562994975753;-5,2030071867437115;7;8,16996241945583e-01;5,21787974644523;1,96297076926741e-01;11,76837356008829;0,64942622828073104;79,04200000000000;70,789;3,790317033842780;15,54958199768910;26,043187833674502;3,2531169889602101;NA;4,9052087569455498;12,22623023579630;2,965217293843680;4,8586037493622101;37,5;55,4;58,5;-1,05594646930695002;-0,615699768066406028;-0,276472032070160023;-0,551976680755615012;-0,34643545746803300;-0,838690638542174960;2026,62283944461;4107200,13335853;43,2;0,509;0,259081;61,10000000;7,4;7,8;8,42769000357630;2001
263;BRAC Uganda;Uganda;2014;Africa;NGO;BRAC - UGA;2014-12-31;113;2006;1;101874;2;33323232,61;158827;0;0;0;158827;5968;152859;0;31956054,18;5002326,260;26953727,92000;0,00;201,20;0,3658;0,3658;1,3641;0,5054;0,0894;0,2611;57,6460;57,6460;0,005900;0,004800;0,0044;0,0044;4;TRUE;-5,13280292807046301;-5,3391393610682920;8;8,43462330116753e-01;5,30430137150744;4,18931776250190e-02;11,97557083853144;2,03158558519275978;78,49600000000000;70,832;3,245896079727270;15,45540248312220;24,863256290635402;2,7216990177005398;NA;3,0757066895864100;12,90355961377020;3,052482914734780;4,4556826079576304;37,5;60,5;62,1;-1,09737718105316007;-0,542870998382568026;-0,256649404764175026;-0,585784256458282027;-0,39462095499038702;-0,941126167774199995;2067,79541691699;4275777,88622291;43,3;0,512;0,262144;59,90000000;7,3;7,6;8,42769000357630;2001
264;BURO Bangladesh;Bangladesh;2008;South Asia;NGO;BURO Bangladesh;2008-12-31;115;1990;0;100301;4;52835185,70;496603;0;0;0;530102;530102;0;0;46232125,50;46232125,500;0,00000;0,00;87,21;0,1677;0,1790;1,0679;0,2506;0,0754;0,1489;15,7940;14,5849;0,030600;0,024200;0,0060;0,0060;4;TRUE;-3,48675527002380203;-3,7214026458194960;18;0,00000000000000e+00;4,46836075170424;1,33502451020654e-01;13,11554619311730;5,07673024802307005;71,03200000000000;59,032;1,449748396009400;16,12436697269300;17,595695542199199;9,7571612861557000;NA;8,9019448946515496;34,04219174648180;7,183728868583480;0,8434421232754130;NA;NA;NA;-1,04678833484649991;-0,737818300724029985;-0,914517819881438987;-0,442116975784301980;-0,75237357616424605;-1,508331298828130107;3124,22679727975;9760793,08084088;34,3;0,530;0,280900;44,20676636;7,1;9,0;9,53343445822026;"2002; 2018"
265;BURO Bangladesh;Bangladesh;2009;South Asia;NGO;BURO Bangladesh;2009-12-31;115;1990;0;100301;4;86427651,97;577057;577057;0;0;621391;621391;0;0;58761525,90;58761525,900;0,00000;0,00;94,56;0,1630;0,1756;1,0632;0,2336;0,0844;0,1233;15,9986;14,9172;0,041600;0,026500;0,0133;0,0133;4;TRUE;-3,17965511171491899;-3,6306105459899607;19;0,00000000000000e+00;4,54928208486692;3,85820351240986e-01;13,26569632743956;4,12468580681646024;70,29100000000000;58,870;0,879494542360121;16,48018606048350;17,104629051963201;10,2662760920969003;NA;5,4234723617467804;36,19103756525220;7,399998388480880;1,2857649421565100;NA;NA;NA;-1,07525122165679998;-0,802224457263946977;-0,866342842578888050;-0,289043039083481001;-0,78457146883010898;-1,546771407127379927;3253,09133655990;10582603,24400108;34,4;0,541;0,292681;47,46877713;8,0;9,0;9,53343445822026;"2002; 2018"
266;BURO Bangladesh;Bangladesh;2010;South Asia;NGO;BURO Bangladesh;2010-12-31;115;1990;0;100301;4;89477972,99;755099;0;0;0;821826;821826;0;0;78720991,31;78720991,310;0,00000;0,00;95,79;0,1512;0,1645;0,9821;0,2400;0,0897;0,1357;17,9252;16,5458;0,041600;0,037200;0,0140;0,0140;4;TRUE;-3,17965511171491899;-3,2914465177030361;20;0,00000000000000e+00;4,56213643069068;1,28082637621263e-01;13,53460414546274;4,37348466696671956;69,53800000000000;58,707;1,068934861110640;16,12122835920060;17,001181259291901;9,4121256483671392;32,1;8,1266763916991902;40,96132262923420;7,659615990811330;2,1131692919498999;NA;NA;NA;-1,05408024787903010;-0,752631783485413042;-0,857593059539795033;-0,268090695142746027;-0,80101329088211104;-1,425789475440979892;3395,36478736678;11528502,03929026;34,4;0,553;0,305809;51,10000000;7,9;8,8;9,53343445822026;"2002; 2018"
267;Babura Microfinance Bank Limited;Nigeria;2012;Africa;Bank;Babura MFB;2012-12-31;117;2005;1;133523;4;1222347,94;1825;0;0;0;2404;1446;958;0;905247,32;746644,120;158603,20000;0,00;376,56;0,2688;0,3541;1,8408;0,3832;0,0093;0,1201;69,0730;51,8440;0,182100;0,150800;0,0000;0,0000;4;TRUE;-1,70319929224857480;-1,8918008234082817;7;1,75204274562227e-01;5,93107417146026;3,00320641021340e-01;7,50933526601659;1,40350877872635005;54,75400000000000;57,850;1,523782396316780;7,72454667172196;21,859958616467200;4,4276225114671899;35,5;12,2242413020584006;10,60470377120510;5,816691442336550;11,4930280165674006;NA;NA;NA;-1,17593324184417991;-1,002810359001159890;-0,723069429397583008;-0,700219869613647017;-1,13882875442504994;-2,042073726654050070;5045,47172028816;25456784,88022757;42,2;0,499;0,249001;56,30000000;7,5;8,9;8,97151201709751;"2000; 2012; 2018"
268;Bancamía S.A., Banco de las Microfinanzas;Colombia;2008;Latin America and The Caribbean;Bank;Bancamía;2008-12-31;120;2008;1;102657;4;202606936,42;190252;190252;0;0;210130;210130;0;0;162808803,91;162808803,910;0,00000;0,00;774,80;0,1663;0,1836;0,7027;0,0917;0,0348;0,0474;48,4107;44,2206;0,043300;0,024600;0,0056;0,0052;5;TRUE;-3,13960264397369304;-3,7050088360438198;0;0,00000000000000e+00;6,65260542235408;2,18691298069739e-01;12,15610478815225;2,08424236302407007;22,79600000000000;66,959;4,361983916084150;15,37370371458430;6,687384850405190;1,9930269723073799;55,3;6,9968849555450801;31,34288212838310;14,027520116545100;27,2330534784582987;56,3;36,2;69,0;-0,26154261827468900;-0,021946040913462601;0,272389978170395008;-0,165922626852989002;-0,38123598694801297;-1,853462338447569913;11507,52582548910;132423150,62429859;52,4;0,716;0,512656;62,16767962;3,8;8,4;8,51709960356755;"1998; 2012; 2018"
269;Bancamía S.A., Banco de las Microfinanzas;Colombia;2009;Latin America and The Caribbean;Bank;Bancamía;2009-12-31;120;2008;1;102657;4;284972616,14;285765;285765;0;0;301389;301389;0;0;240713936,43;240713936,430;0,00000;0,00;798,68;0,1601;0,1688;0,9957;0,2977;0,0881;0,1638;167,7745;156,1301;0,046500;0,035100;0,0415;0,0397;5;TRUE;-3,06830296638882638;-3,3495541485103169;1;0,00000000000000e+00;6,68296273250357;1,68783849235561e-01;12,56292507371764;0,00166227940896135;22,41300000000000;69,820;3,457324017138130;14,78007233229790;6,689740696288090;1,7749143609623601;54,3;4,2025166121648798;30,05884980933400;13,958193583568701;28,6661946803945007;56,3;36,2;69,1;-0,33701252937316900;-0,300278097391128984;0,088281720876693698;-0,149577632546425005;-0,36777758598327598;-1,832345843315120071;11507,71711272140;132427553,14642097;51,3;0,722;0,521284;62,31768905;4,3;8,5;8,51709960356755;"1998; 2012; 2018"
270;Bancamía S.A., Banco de las Microfinanzas;Colombia;2010;Latin America and The Caribbean;Bank;Bancamía;2010-12-31;120;2008;1;102657;5;376295561,36;341100;0;0;0;360335;360335;0;0;333031853,79;333031853,790;0,00000;0,00;924,23;0,1522;0,1607;1,0426;0,3189;0,0677;0,1939;204,5446;193,7694;0,046200;0,036300;0,0398;0,0309;5;TRUE;-3,07477548089444408;-3,3159375377113318;2;0,00000000000000e+00;6,82895926710746;1,22136759614867e-01;12,73993096840674;3,32373450571197004;22,03600000000000;71,297;2,243830283255530;13,96702569569530;6,324853876410680;1,4066173659806300;54,6;2,2720022789200800;32,35295863779690;13,793989548004999;34,9516649424433012;56,3;36,2;75,9;-0,42333310842513999;-0,121465317904948994;0,157253935933112987;-0,132357180118561013;-0,27138561010360701;-1,537184834480290085;11890,20307721660;141376929,21745110;50,9;0,726;0,527076;65,50000000;4,6;8,3;8,51709960356755;"1998; 2012; 2018"
271;Bancamía S.A., Banco de las Microfinanzas;Colombia;2011;Latin America and The Caribbean;Bank;Bancamía;2011-12-31;120;2008;1;102657;4;541593395,25;390017;0;0;0;429345;429345;0;0;442075851,39;442075851,390;0,00000;0,00;1029,65;0,1702;0,1874;1,2627;0,3380;0,0497;0,1840;227,6309;210,7497;0,060700;0,047900;0,0298;0,0298;5;TRUE;-2,80181158091668436;-3,0386397745652673;3;0,00000000000000e+00;6,93697596427622;2,03034049804069e-01;12,87394560689941;5,78469976561988020;21,66500000000000;72,116;4,372985932190310;13,21760257696400;6,091696108222140;1,2244785374712299;53,5;3,4150334477624100;34,95997388777750;14,758564922998699;32,5052616194443971;56,3;36,2;75,9;-0,31752768158912698;-0,047133158892393098;0,279601454734802024;-0,059714227914810201;-0,21736146509647400;-1,284655570983890049;12578,01562675610;158206477,10692063;50,0;0,733;0,537289;68,00000000;4,1;8,6;8,51709960356755;"1998; 2012; 2018"
272;Bancamía S.A., Banco de las Microfinanzas;Colombia;2012;Latin America and The Caribbean;Bank;Bancamía;2012-12-31;120;2008;1;102657;4;629930741,03;406111;0;0;0;451259;451259;0;0;524490177,00;524490177,000;0,00000;0,00;1162,28;0,1922;0,2135;1,3280;0,3266;0,0585;0,1607;240,1104;217,0767;0,085100;0,068300;0,0386;0,0268;5;TRUE;-2,46392824340280869;-2,6838455124053926;4;0,00000000000000e+00;7,05814052428390;1,83183179120985e-01;12,91438180023195;2,83788902621921979;21,29900000000000;73,185;4,054762671047200;13,08928488372970;5,582687053549310;1,0834304942329800;52,6;3,1693018884006299;37,74485152628770;15,045793376721400;36,0541245774664034;56,3;36,2;76,7;-0,42229834198951699;0,000233644808758982;0,326594680547714011;-0,063991345465183300;-0,32591912150383001;-1,401810407638550027;12934,96575194400;167313339,00396422;49,2;0,734;0,538756;68,00000000;4,0;8,4;8,51709960356755;"1998; 2012; 2018"
273;Bancamía S.A., Banco de las Microfinanzas;Colombia;2013;Latin America and The Caribbean;Bank;Bancamía;2013-12-31;120;2008;1;102657;5;653236383,45;393404;0;0;0;436713;436713;0;0;523145864,99;523145864,990;0,00000;0,00;1197,92;0,1981;0,2199;1,2290;0,3046;0,0422;0,1706;267,8683;241,0077;0,084300;0,066700;0,0508;0,0436;5;TRUE;-2,47337341397432731;-2,7075503260605589;5;0,00000000000000e+00;7,08833937594764;2,22078734132713e-01;12,88259235265358;4,09826590865887042;20,93900000000000;72,896;4,242275614389170;12,66235630373080;5,392714954494730;1,1645234097697801;52,6;2,0169922431037799;39,48369169134580;15,663376192494400;39,5166586014627015;56,3;36,2;73,8;-0,44105258584022500;0,055446788668632500;0,339824229478836004;-0,081278838217258495;-0,38794946670532199;-1,291971802711489925;13465,07504365260;181308245,93119606;49,0;0,746;0,556516;69,60000000;3,8;8,1;8,51709960356755;"1998; 2012; 2018"
274;Bancamía S.A., Banco de las Microfinanzas;Colombia;2014;Latin America and The Caribbean;Bank;Bancamía;2014-12-31;120;2008;1;102657;4;586314810,47;365648;0;0;0;404248;404248;0;0;451113550,29;451113550,290;0,00000;0,00;1115,93;0,1470;0,1625;1,2477;0,2941;0,0446;0,1466;255,2893;231,0121;0,062600;0,046100;0,0587;0,0498;5;TRUE;-2,77099000087608438;-3,0769423289795341;6;0,00000000000000e+00;7,01744581026242;2,62137782266764e-01;12,80942640097266;3,51395347912818989;20,58500000000000;73,130;4,242505359947030;12,26931864208160;5,446957214744200;1,0930461034452199;52,6;2,8988378776173800;42,38460569700130;15,647207588370200;40,9684738164189994;56,3;37,7;74,0;-0,39717924594879200;-0,137135624885558999;0,444412022829056008;-0,043301202356815303;-0,25197598338127097;-1,114594101905820089;13938,23151661620;194274297,81079316;48,6;0,750;0,562500;70,70000000;4,1;7,8;8,51709960356755;"1998; 2012; 2018"
275;Banco Compartamos S.A. Institución de Banca Múltiple;Mexico;2009;Latin America and The Caribbean;Bank;Compartamos Banco;2009-12-31;240;1990;1;100299;5;708116385,91;1503006;47196;112355;1343455;1698777;143702;211620;1343455;577488514,55;117540275,650;32784379,79000;427163859,11;339,94;0,0379;0,0429;1,6822;0,5722;0,0527;0,2557;124,6254;111,6195;0,023200;0,023200;0,0270;0,0264;5;TRUE;-3,76360300030987283;-3,7636030003098728;19;7,96463007161984e-01;5,82877997357642;2,03919913089141e-01;14,22297766074311;-6,44990305246393980;22,48000000000000;63,757;2,183409935379590;15,09621026281750;3,241494140697320;2,4527358515960498;NA;5,2973558422885896;22,65381252505600;13,675038506112999;42,9103208823919005;NA;NA;NA;-0,36596012115478499;0,144824191927909990;0,177682906389236006;0,200032845139503007;-0,56286883354187001;-0,686627805233002042;17387,66191217840;302330786,77221936;46,4;0,745;0,555025;65,80614758;6,1;8,2;7,67500545932142;"2000; 2005; 2012; 2018"
276;Banco Compartamos S.A. Institución de Banca Múltiple;Mexico;2010;Latin America and The Caribbean;Bank;Compartamos Banco;2010-12-31;240;1990;1;100299;5;910940032,41;1961995;0;0;0;2209240;308369;144872;1755999;780794165,32;152512155,590;48460291,73000;579821717,99;353,42;0,0338;0,0381;1,7156;0,6217;0,0573;0,2756;126,8653;112,4837;0,020000;0,020000;0,0327;0,0324;5;TRUE;-3,91202300542814596;-3,9120230054281460;20;8,04670472239640e-01;5,86766299739355;1,54165506602874e-01;14,48947237068422;3,73285194759217998;22,18500000000000;63,625;2,885676013579310;15,56167934953150;3,219154476154950;2,0873730488114801;47,2;4,1567272268017597;23,32882152813520;14,089836534147899;45,1702851614064969;NA;NA;NA;-0,43974813818931602;0,099259831011295305;0,156337782740593012;0,178501576185225996;-0,55203133821487405;-0,726463437080382968;18036,71758850790;325323181,36759031;46,0;0,746;0,556516;68,30000000;6,5;8,0;7,67500545932142;"2000; 2005; 2012; 2018"
277;Banco Compartamos S.A. Institución de Banca Múltiple;Mexico;2011;Latin America and The Caribbean;Bank;Compartamos Banco;2011-12-31;240;1990;1;100299;5;989964157,71;2334440;0;0;0;2618926;374645;262088;1982193;840000000,00;168602150,540;74623655,91000;596774193,55;320,74;0,0318;0,0357;1,6060;0,6235;0,0423;0,3088;147,3310;130,2742;0,038600;0,024800;0,0291;0,0287;5;TRUE;-3,25450300251135172;-3,6969116258112007;21;7,99283154119048e-01;5,77063758177015;1,64266846302550e-01;14,66328259162784;2,19358757838943985;21,88900000000000;63,842;2,024127449862790;15,35128430374600;3,088461553930520;1,9860963183513001;NA;3,4073782460573598;24,55433833013800;14,413549862948800;44,8590815004044003;NA;NA;NA;-0,47473776340484602;0,257281601428985984;0,184377461671829002;0,121691875159740004;-0,54988771677017201;-0,667768597602844016;18432,36878507860;339752219,02914000;45,8;0,752;0,565504;67,80000000;6,0;7,7;7,67500545932142;"2000; 2005; 2012; 2018"
278;Banco Compartamos S.A. Institución de Banca Múltiple;Mexico;2012;Latin America and The Caribbean;Bank;Compartamos Banco;2012-12-31;240;1990;1;100299;5;1333796296,30;2495028;0;0;0;2824102;454489;376803;1992810;1126851851,85;292438271,600;131635802,47000;702777777,78;399,01;0,0396;0,0448;1,4538;0,6243;0,0447;0,3313;159,5305;141,2357;0,044400;0,026400;0,0419;0,0413;5;TRUE;-3,11451580954395801;-3,6343912688298663;22;7,40482059713624e-01;5,98899261389086;1,68601461541476e-01;14,72981050954967;2,20489898111602001;21,59500000000000;64,624;1,515690271570450;16,34672480388260;3,173924967250590;1,9322989485301101;48,7;4,1115098107029304;26,04809704891800;14,888174964483200;48,7582049403147977;NA;NA;NA;-0,48452758789062500;0,300963640213012973;0,418743193149566983;0,112745344638824005;-0,53518009185791005;-0,662454187870025968;18838,78389661630;354899778,70340961;45,6;0,760;0,577600;65,30000000;5,7;7,5;7,67500545932142;"2000; 2005; 2012; 2018"
279;Banco Compartamos S.A. Institución de Banca Múltiple;Mexico;2013;Latin America and The Caribbean;Bank;Compartamos Banco;2013-12-31;240;1990;1;100299;2;1426259541,98;2488616;0;0;0;2741958;486379;2255579;0;1255496183,21;344656488,550;910839694,66000;0,00;457,88;0,0454;0,0500;1,4467;0,6357;0,0499;0,3162;183,6712;166,1928;0,048100;0,028900;0,0777;0,0777;5;TRUE;-3,03447310187042163;-3,5439136838637508;23;7,25481850794005e-01;6,12661387480110;1,27524452874310e-01;14,72723729062069;0,02784914971823580;21,30100000000000;64,497;3,988565128532590;15,83182395490800;3,138783694945260;1,8195251112494499;NA;3,8063906974720698;29,01746154520670;14,831950546915101;48,7092203436664022;NA;NA;NA;-0,59152024984359697;0,307451426982880027;0,418155193328856978;0,108392298221587996;-0,54914987087249800;-0,714223802089691051;18844,03033774880;355097479,36999720;45,3;0,760;0,577600;67,00000000;5,2;7,2;7,67500545932142;"2000; 2005; 2012; 2018"
280;Banco D-Miro;Ecuador;2008;Latin America and The Caribbean;Bank;Banco D-Miro;2008-12-31;123;1997;1;100397;5;25892694,00;36174;33104;1743;1327;36174;33104;1743;1327;24436713,00;23710941,000;412980,00000;312792,00;675,53;0,1856;0,1856;1,0551;0,2851;0,0585;0,1881;132,3351;132,3351;0,018800;0,011800;0,0075;0,0075;5;TRUE;-3,97389840914623349;-4,4396557475105176;11;2,97000664532910e-02;6,51550128287024;5,78742113465417e-02;10,49609590771746;4,55994357811206985;37,70000000000000;68,872;1,712044863621540;13,70506293975310;8,965682892253540;5,0008117841960598;49,8;8,4000959398746193;23,72306530624870;11,946998147558901;34,1342804215966993;43,8;58,3;74,3;-0,65470582246780396;-0,859546005725861040;-1,127548575401309927;-0,222304701805114996;-1,10530638694763006;-0,728682398796081987;10284,95426588430;105780284,25133166;46,7;0,729;0,531441;55,23711692;5,9;7,8;8,18854562652686;"2013; 2018"
281;Banco D-Miro;Ecuador;2009;Latin America and The Caribbean;Bank;Banco D-Miro;2009-12-31;123;1997;1;100397;5;23604362,00;29359;28048;1138;173;30138;28827;1138;173;19774133,00;19518311,000;221991,00000;33831,00;656,12;0,1653;0,1697;0,9170;0,3183;0,0818;0,2195;165,7971;163,8494;0,063100;0,054100;0,0269;0,0269;5;TRUE;-2,76303450943496953;-2,9169210931297012;12;1,29372043770516e-02;6,48634311444234;1,77056856004820e-01;10,28735442220290;-1,11136447442210007;37,50500000000000;66,400;0,493652335536362;13,87921717968960;9,913941346410470;4,3865162902769503;48,5;5,1599682918104604;23,92433578202870;11,920251836306401;43,2072094315166026;43,8;58,3;76,5;-0,74457442760467496;-0,739758551120757946;-1,259179472923279919;-0,250357389450073020;-1,20504021644591996;-0,673675775527953991;10170,65093796270;103442140,50188155;45,7;0,731;0,534361;52,48096112;6,4;8,0;8,18854562652686;"2013; 2018"
282;Banco D-Miro;Ecuador;2010;Latin America and The Caribbean;Bank;Banco D-Miro;2010-12-31;123;1997;1;100397;5;34860293,00;36463;0;0;0;37453;37090;363;0;29835230,00;29755344,000;79886,00000;0,00;796,60;0,1798;0,1847;0,8584;0,2746;0,0604;0,2316;201,4070;188,3943;0,030500;0,020300;0,0298;0,0298;5;TRUE;-3,49002859536877130;-3,8971343929343951;13;2,67757278894786e-03;6,68035837542907;1,55658535094456e-01;10,50405332680051;1,82064769346836997;37,31000000000000;65,197;0,238505420241170;13,40189032429370;9,733118078436711;3,7366304726420299;48,8;3,5543773456784602;26,53761191099750;12,268073045072899;44,6673777641078971;50,0;58,3;76,8;-0,70774435997009300;-0,675487160682678001;-1,124051690101619982;-0,231080830097197987;-1,14322912693023993;-0,586674451828003041;10355,82265967540;107243062,95864646;44,9;0,736;0,541696;49,30000000;6,7;8,0;8,18854562652686;"2013; 2018"
283;Banco D-Miro;Ecuador;2011;Latin America and The Caribbean;Bank;Banco D-Miro;2011-12-31;123;1997;1;100397;5;43607508,00;39561;0;0;0;40303;40277;26;0;40634553,00;40631163,000;3390,00000;0,00;1008,23;0,2359;0,2403;0,8649;0,1477;0,0275;0,1210;124,4188;121,5770;0,017100;0,009900;0,0356;0,0272;5;TRUE;-4,06867681547352245;-4,6152205218415929;14;8,34265360319941e-05;6,91594813488832;7,06105735892932e-02;10,58559906347581;6,11153231629918015;37,14900000000000;64,218;0,814974200589349;13,04101544938870;9,601116666564071;3,3813182867857199;45,9;4,4745326579583597;27,49061116122390;12,652850787521800;26,2135294342378984;50,0;58,3;76,6;-0,64170813560485795;-0,527029573917389027;-0,956343531608581987;-0,293364822864532027;-1,14428532123566007;-0,686557531356811968;10988,72210814010;120752013,56992701;44,0;0,743;0,552049;47,10000000;6,3;7,7;8,18854562652686;"2013; 2018"
284;Banco D-Miro;Ecuador;2013;Latin America and The Caribbean;Bank;Banco D-Miro;2013-12-31;123;1997;1;100397;5;63391785,00;40682;0;0;0;41988;41779;209;0;56605780,00;56540693,000;65087,00000;0,00;1348,14;0,3154;0,3256;1,1208;0,2571;0,0680;0,1377;195,5495;188,1161;0,061100;0,050700;0,0000;0,0000;5;TRUE;-2,79524341280458755;-2,9818293683849997;16;1,14982957570763e-03;7,20648251594516;1,13223178778662e-01;10,61354101316243;3,35054624250890010;36,87500000000000;64,886;0,764305489903436;13,04285974577080;8,769342902826970;2,5846861168930499;46,9;2,7217757771036499;28,98463766284500;11,955007447389100;29,0802381459252999;50,0;58,3;73,1;-0,50252819061279297;-0,446686625480652022;-0,837611019611358976;-0,252721816301345992;-0,87014836072921797;-0,178656712174416005;11806,92383585070;139403450,46557939;43,1;0,755;0,570025;46,90000000;5,6;7,4;8,18854562652686;"2013; 2018"
285;Banco D-Miro;Ecuador;2014;Latin America and The Caribbean;Bank;Banco D-Miro;2014-12-31;123;1997;1;100397;5;84721179,00;40079;0;0;0;41590;41590;0;0;75376876,00;75376876,000;0,00000;0,00;1812,38;0,3146;0,3265;1,1914;0,2550;0,0521;0,1446;256,1139;246,9747;0,054800;0,047000;0,0045;0,0045;5;TRUE;-2,90406508502816729;-3,0576076772720784;17;0,00000000000000e+00;7,50239606885383;1,16865074000398e-01;10,59860778534769;2,26042436923140011;36,73900000000000;65,290;0,759282221720076;13,76481670217710;9,126508258712290;2,4304910685218002;45,0;3,5892201661666898;29,49310731058410;11,573569307427100;32,2070317027865016;50,0;57,6;73,6;-0,74062532186508201;-0,382538944482803012;-0,920283794403075950;-0,202451646327971996;-0,97051095962524403;-0,018533209338784200;12073,81041949280;145776898,04585290;42,6;0,760;0,577600;48,00000000;5,6;7,1;8,18854562652686;"2013; 2018"
286;Banco De La Gente Emprendedora;Venezuela;2008;Latin America and The Caribbean;Bank;BanGente;2008-12-31;119;1997;1;100249;5;127097034,42;44358;22357;21913;0;45435;23522;21913;0;101516749,77;66110232,560;35406517,21000;0,00;2234,33;0,2421;0,2479;1,1410;0,3507;0,0841;0,2036;544,3710;537,0388;0,018200;0,007400;0,0130;0,0121;5;TRUE;-4,00633368489938757;-4,9062752787720125;11;3,48775126175910e-01;7,71169635306651;2,24727038040061e-01;10,70004835478516;3,73739782559073008;11,96900000000000;67,516;0,659274461280102;12,83958618401250;4,158416115705050;0,0433608263059885;NA;31,4409999999999989;21,46967380759160;17,687504221236999;27,2347958338787990;12,5;63,6;66,7;-1,14442372322083008;-1,144806146621700105;-1,372148633003229978;-0,752219378948212003;-1,63578140735625999;-1,312438845634460005;17550,80993731690;308030929,45582163;38,7;0,756;0,571536;44,71070825;4,6;8,0;8,39253316387369;"2000; 2021"
287;Banco De La Gente Emprendedora;Venezuela;2009;Latin America and The Caribbean;Bank;BanGente;2009-12-31;119;1997;1;100249;4;115270326,98;35880;17622;18258;0;35880;17820;18370;0;96499467,91;58073462,330;38426005,58000;0,00;2689,51;0,2666;0,2666;1,0580;0,3722;0,0914;0,2297;693,7076;684,5196;0,029800;0,016500;0,0303;0,0296;5;TRUE;-3,51324688547077812;-4,1043948980756024;12;3,98199144640237e-01;7,89711273623527;1,77742544809570e-01;10,48793531617273;-4,54882021047604024;11,94300000000000;67,305;-0,344767329112459;13,62486832312110;5,662177794741400;0,0400257585249293;NA;27,0809414466130995;23,61362867879780;18,774826026081101;27,5077788726351002;12,5;63,6;66,7;-1,17169654369354004;-0,968656480312346968;-1,559879422187810061;-0,853539109230041948;-1,62595248222351008;-1,277789473533629927;16859,83080189460;284253894,66851395;38,0;0,756;0,571536;39,91593770;5,3;8,0;8,39253316387369;"2000; 2021"
288;Banco De La Gente Emprendedora;Venezuela;2010;Latin America and The Caribbean;Bank;BanGente;2010-12-31;119;1997;1;100249;5;81720562,09;40094;0;0;0;40094;16171;23923;0;74496626,28;39584369,530;34912256,74000;0,00;1858,05;0,2104;0,2104;0,6625;0,2038;0,0486;0,2397;493,0063;493,0063;0,013000;0,006200;0,0225;0,0193;5;TRUE;-4,34280592152060052;-5,0832059869310910;13;4,68642118352853e-01;7,52728242132776;9,25518086406364e-02;10,59898197616442;-2,81689903503258021;11,91700000000000;67,257;0,402601927997842;11,89951988147440;5,375265165505540;0,0363689675955094;NA;28,1874647092039012;18,85433542003420;17,577769338932399;38,5316342158504028;12,5;63,6;66,8;-1,20800900459289995;-1,097542166709899902;-1,563119769096370071;-0,870534300804137962;-1,66915047168732000;-1,256236672401429999;16581,81882355950;274956715,49735218;37,5;0,755;0,570025;37,10000000;5,8;7,6;8,39253316387369;"2000; 2021"
